"SAMPLE_ID","STATION_ID","DEPTH","DATE","CELL","NGVD29","COLLECT_METHOD","MATRIX","Position","ALKALINITY, TOT, CACO3","AMMONIA-N","CALCIUM","CARBON, DISSOLVED ORGANIC","CHLORIDE","CHLOROPHYLL-A(LC)","CHLOROPHYLL-B (LC)","DEPTH, TOTAL","DISSOLVED OXYGEN","HARDNESS AS CACO3","MAGNESIUM","NITRATE+NITRITE-N","NO BOTTLE SAMPLE","PH, FIELD","PHEOPHYTIN-A(LC)","PHOSPHATE, DISSOLVED AS P","PHOSPHATE, ORTHO AS P","PHOSPHATE, TOTAL AS P","POTASSIUM","SODIUM","SP CONDUCTIVITY, FIELD","SULFATE","TEMP","TOTAL NITROGEN","TOTAL SUSPENDED SOLIDS","TURBIDITY","VOLATILE SUSPENDED SOLIDS","Name","PHOSPHATE, PARTICULATE AS P","PHOSPHATE,DISSOLVED ORGANIC AS P","NA:CL","K:CL","CA:CL","SO4:CL","MG:CL","CA+MG","NA+K","CL+SO4","BICARBONATE","Ionic Strength","Cation Total meq","Anion Total meq","Cation/Anion"
"P102810-10","L8CELL4",9,2019-01-29,"L8CELL4",-36.47756,"G","SW","Bottom",249,0.088,111.1,NA,326,NA,NA,9.87,7.26,383.5,25.8,0.095,NA,8.1,NA,0.007,0.002,0.285,8.8,229.7,1970,182,18.9,1.33,20,NA,NA,"L8CELL4",0.278,0.005,0.704601226993865,0.0269938650306749,0.34079754601227,0.558282208588957,0.0791411042944785,136.9,238.5,508,497.999998749888,29.0575,17.8881729102125,17.9633579274166,0.996
"P102810-11","L8CELL5",0.5,2019-01-29,"L8CELL5",-8.59042,"G","SW","Top",246,0.044,109.9,NA,419,NA,NA,9.9,8.29,376.7,24.9,0.064,NA,8.2,NA,0.006,0.002,0.211,8.7,217.1,1904,237,18.9,1.26,17,NA,NA,"L8CELL5",0.205,0.004,0.518138424821002,0.020763723150358,0.262291169451074,0.56563245823389,0.0594272076372315,134.8,225.8,656,491.99999842905,28.084,17.2011641467771,21.671912810742,0.794
"P102810-12","L8CELL5",4.35,2019-01-29,"L8CELL5",-21.221654,"G","SW","Mid",247,0.06,115.6,NA,419,NA,NA,9.9,7.39,396.9,26.2,0.064,NA,8.2,NA,0.005,0.002,0.258,9.1,223,1937,237,18.2,1.26,19,NA,NA,"L8CELL5",0.253,0.003,0.532219570405728,0.0217183770883055,0.275894988066826,0.56563245823389,0.0625298329355609,141.8,232.1,656,493.99999842905,28.57075,17.860308784458,21.6919048139407,0.823
"P102810-13","L8CELL5",8.7,2019-01-29,"L8CELL5",-35.493308,"G","SW","Bottom",250,0.076,115.3,NA,419,NA,NA,9.9,7.04,397.4,26.6,0.07,NA,8.1,NA,0.006,0.002,0.336,9.1,224.7,1962,237,18.2,1.26,26,NA,NA,"L8CELL5",0.33,0.004,0.536276849642005,0.0217183770883055,0.275178997613365,0.56563245823389,0.0634844868735084,141.9,233.8,656,499.999998749888,28.9395,17.9530823700161,21.7518808235369,0.825
"P102810-14","L8CELL6",0.5,2019-01-29,"L8CELL6",-8.59042,"G","SW","Top",206,0.273,88.1,NA,192,NA,NA,9.37,8.6,308.4,21.5,2.33,NA,7.7,NA,0.134,0.118,0.258,8.7,128.4,1229,116,16.9,4.33,34,NA,NA,"L8CELL6",0.124,0.016,0.66875,0.0453125,0.458854166666667,0.604166666666667,0.111979166666667,109.6,137.1,308,411.999999500215,18.12775,11.987947187653,11.9495888368424,1.003
"P102810-15","L8CELL6",4.5,2019-01-29,"L8CELL6",-21.71378,"G","SW","Mid",215,0.25,92.3,NA,206,NA,NA,9.37,8.5,322.8,22.4,1.853,NA,7.9,NA,0.104,0.092,0.228,8.6,148.4,1237,121,17.4,3.74,34,NA,NA,"L8CELL6",0.124,0.012,0.720388349514563,0.041747572815534,0.448058252427184,0.587378640776699,0.10873786407767,114.7,157,327,429.999999209189,18.24575,13.1377203648321,12.6285408947476,1.04
"P102810-16","L8CELL6",8.6,2019-01-29,"L8CELL6",-35.165224,"G","SW","Bottom",223,0.229,94.9,NA,228,NA,NA,9.37,8.46,333.2,23.4,1.366,NA,8,NA,0.079,0.068,0.214,8.7,165.1,1226,130,17.6,3.2,30,NA,NA,"L8CELL6",0.135,0.011,0.724122807017544,0.0381578947368421,0.416228070175439,0.570175438596491,0.102631578947368,118.3,173.8,358,445.999999005569,18.0835,14.077559336364,13.5964521896727,1.035
"P102810-17","L8CELL7",0.5,2019-01-29,"L8CELL7",-8.59042,"G","SW","Top",211,0.246,90.8,NA,205,NA,NA,NA,8.55,316.4,21.8,2.089,NA,7.9,NA,0.112,0.101,0.242,8.6,141.5,1341,120,17.3,4,32,NA,NA,"L8CELL7",0.13,0.011,0.690243902439024,0.0419512195121951,0.442926829268293,0.585365853658537,0.106341463414634,112.6,150.1,325,421.999999209189,19.77975,12.7131423744318,12.4995438166089,1.017
"P102810-17","L8CELL7",0.5,2019-01-29,"L8CELL7",-8.59042,"G","SW","Mid",NA,NA,NA,NA,NA,NA,NA,9.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L8CELL7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P102810-18","L8CELL7",4.6,2019-01-29,"L8CELL7",-22.041864,"G","SW","Mid",229,0.19,99.6,NA,285,NA,NA,NA,7.99,348.9,24.3,1.099,NA,8,NA,0.059,0.05,0.237,8.8,183.1,1672,160,17.7,2.78,26,NA,NA,"L8CELL7",0.178,0.00899999999999999,0.642456140350877,0.0308771929824561,0.349473684210526,0.56140350877193,0.0852631578947368,123.9,191.9,445,457.999999005569,24.662,15.1695126061906,15.9489122763722,0.951
