Station name,Station ID,Date,Turb,Turb-Unit,mPO4,mPO4-Unit,mRun,mRun-Unit,mVin,mVin-Unit,mQC,mQC-Unit
127215,61e09ba56a379f48b21582c5,2023-11-01T09:00:24Z,0.0,,," ",," ",," ",," "
127215,61e09ba56a379f48b21582c5,2023-11-01T10:00:24Z,0.0,,," ",," ",," ",," "
127215,61e09ba56a379f48b21582c5,2023-11-01T11:00:24Z,0.0,,," ",," ",," ",," "
127215,61e09ba56a379f48b21582c5,2023-11-01T13:00:24Z,0.0,,," ",," ",," ",," "
127215,61e09ba56a379f48b21582c5,2023-11-01T14:00:24Z,0.0,,," ",," ",," ",," "
127215,61e09ba56a379f48b21582c5,2023-11-22T00:00:24Z,0.43,,0.047," ",472," ",13.2," ",4," "
127215,61e09ba56a379f48b21582c5,2023-11-22T04:00:24Z,0.85,,0.050," ",473," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-22T08:00:24Z,1.05,,0.048," ",474," ",13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-22T12:00:24Z,1.12,,0.048," ",475," ",13.2," ",4," "
127215,61e09ba56a379f48b21582c5,2023-11-22T16:00:24Z,1.12,,0.047," ",476," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-22T20:00:24Z,1.06,,0.045," ",477," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-23T00:00:24Z,0.98,,0.045," ",477," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-23T04:00:24Z,1.23,,0.040," ",478," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-23T08:00:24Z,0.89,,0.041," ",479," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-23T12:00:24Z,0.87,,0.036," ",480," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-23T16:00:24Z,1.06,,0.035," ",481," ",13.2," ",3," "
127215,61e09ba56a379f48b21582c5,2023-11-23T20:00:24Z,0.58,,0.034," ",482," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T00:00:24Z,1.25,,0.027," ",483," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T04:00:24Z,1.13,,0.024," ",484," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T08:00:24Z,0.85,,0.029," ",485," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T12:00:24Z,0.92,,0.026," ",486," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T16:00:24Z,0.92,,0.023," ",487," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-24T20:00:24Z,1.0,,0.019," ",488," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T00:00:24Z,0.91,,0.014," ",489," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T04:00:24Z,1.11,,0.014," ",490," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T08:00:24Z,1.2,,0.015," ",491," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T12:00:24Z,1.31,,0.036," ",492," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T16:00:24Z,1.25,,0.036," ",493," ",13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-25T20:00:24Z,0.86,,0.035," ",494," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T00:00:24Z,0.73,,0.035," ",495," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T04:00:24Z,0.89,,0.042," ",496," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T08:00:24Z,1.1,,0.040," ",497," ",13.1," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T12:00:24Z,1.29,,0.039," ",498," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T16:00:24Z,1.38,,0.039," ",499," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-26T20:00:24Z,1.4,,0.040," ",500," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T00:00:24Z,2.42,,0.038," ",501," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T04:00:24Z,1.12,,0.041," ",502," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T08:00:24Z,1.25,,0.037," ",503," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T12:00:24Z,0.97,,0.036," ",504," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T16:00:24Z,1.17,,0.036," ",505," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-27T20:00:24Z,1.77,,0.033," ",506," ",13.2," ",1," "
127215,61e09ba56a379f48b21582c5,2023-11-28T00:00:24Z,1.47,,0.031," ",507," ",13.2," ",1," "
